data,hora,imagem,legenda,redes
2026-09-20,19:00,P0052_0053_P1_day-ten-kettle.png,"Day ten. The kettle whistles and she's up on all four feet before the second note.

Not scared exactly — checking. She does this with the mail slot too, and the ice maker, and, memorably, a dropped spoon. Ten days isn't long enough to know which sounds mean something and which don't.

We've started narrating the boring ones. ""That's just the kettle."" ""That's just the mail."" She doesn't understand a word of it, but she watches our shoulders, and our shoulders aren't tense, so eventually hers aren't either.

Whoever had her first taught her that sounds can turn into something bad. We're just trying to teach her that most of them don't.

She's back down on the rug by the third note. Progress looks exactly this small.

#adoptdontshop #rescuedog #shelterdog #adoptedlife #dogsofinstagram #rescuedogsofinstagram #dogbehavior #patienceovertime #dogsandcoffee #houndandroast #thehoundandroastsociety",ig+fb
2026-09-21,19:00,P0053_0054_P2_dog-mom-brews.png,"There's a specific kind of tired that only a new puppy causes, and it has nothing to do with how much sleep you actually got.

It's the tired of watching a doorway for chewed shoes, memorizing potty schedules, and reorganizing an entire evening around one very small bladder.

Puppy love doesn't run on rest. It runs on strong coffee and low standards for a clean floor.

Fuelled by puppy love and potent brews. Mostly the second one.

#dogmom #puppylove #newpuppy #dogsofinstagram #coffeelover #puppiesofinstagram #dogmomlife #butfirstcoffee #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-22,19:00,P0054_0055_P3_same-beans-different-cup.png,"Buy the exact bag your favorite café uses and brew it at home, and it still won't taste the same. That's not in your head.

Cafés grind right before brewing, weigh the water to the gram, and often filter and remineralize their water to get the balance right. Most home setups skip all three.

Stale grounds lose aroma within thirty minutes of grinding. A pre-ground bag sitting in the pantry for two weeks has already lost the fight.

Grind fresh, measure the water, and the gap closes more than you'd expect.

#coffeetips #freshground #coffeeathome #specialtycoffee #coffeefacts #homebarista #coffeelover #butfirstcoffee #brewingtips #houndandroast #thehoundandroastsociety",ig+fb
2026-09-23,19:00,P0055_0056_P4_tee-pawsitively-caffeinated.png,"French Bulldogs run warm, snore loud, and greet every morning like it's the first one that's ever happened. Ours has never once opened his eyes gradually.

Zero to fully awake in one second, tags jingling, aimed directly at whoever's closest to the coffee. Porch, sunrise, doesn't matter — he's been like this since the day he came home at nine weeks old.

Pawsitively caffeinated, since always. He didn't need the coffee to get there. We did.

Printed to order on soft ring-spun cotton. Link's in the bio.

#frenchbulldog #frenchie #frenchiesofinstagram #dogsofinstagram #printedtoorder #dogtshirt #coffeelover #butfirstcoffee #currentmood #dogdad #houndandroast #thehoundandroastsociety",ig+fb
2026-09-25,19:00,P0056_0057_P5_ring-spun.png,"Regular cotton uses shorter, looser fibers, and you can feel their loose ends as a slightly rough surface.

Ring spinning twists and thins those fibers into a finer, smoother yarn, and a finer yarn makes a softer fabric.

That's what our tees are made of: 100% ring-spun cotton, lightweight, cut in a modern classic fit, with OEKO-TEX certified dyes.

Nobody sees the yarn, but everybody feels how soft it is.

#ringspuncotton #softtee #printedtoorder #behindthescenes #coffeelover #dogsandcoffee #dogmom #dogdad #houndandroast #thehoundandroastsociety",ig+fb
2026-09-26,19:00,P0057_0058_P2_trailhead-count.png,"Trailhead. The thermos is still hot and the German Shepherd has already checked the parking lot twice.

German Shepherds don't come along on a hike. They run it. Ahead, back, ahead again. A head count every hundred yards, and you're the count.

At the first rest stop he sits facing the way we came, ears up, and doesn't settle until the last of us is in sight.

Water for him, coffee for us. Everyone accounted for. Back to the trail.

#germanshepherd #germanshepherdsofinstagram #gsd #hikingwithdogs #trailcoffee #dogsofinstagram #coffeelover #dogsandcoffee #petillustration #houndandroast #thehoundandroastsociety",ig+fb
2026-09-27,19:00,P0058_0059_P1_belly-up.png,"A year ago he slept curled up tight against the wall, back to the room, eyes on the door.

We didn't push it. We put a bed next to the armchair and waited.

Somewhere around month four he lay down on his side. By month seven he'd stretch out flat on the floor for about a minute, and look embarrassed about it.

Today he's sprawled across the middle of the living room, all four feet in the air, snoring, while somebody reads a few feet away and doesn't move a muscle.

Adopting a dog doesn't end the day you sign the paperwork. Trust just takes the long way around.

The bed is still by the armchair. He ignores it on principle.

#adoptdontshop #shelterdog #rescuedog #adoptionstory #pitbullsofinstagram #rescuedogsofinstagram #dogsofinstagram #adoptedlife #dogsandcoffee #houndandroast #thehoundandroastsociety",ig+fb
2026-09-28,19:00,P0059_0060_P3_arabica-robusta.png,"Coffee comes from more than one plant, and nearly everything in your cup comes from one of two: arabica or robusta.

Arabica grows at higher altitude and ripens slowly. It tastes sweeter, softer, more acidic, and it's most of what you'll find in specialty bags.

Robusta grows at lower altitude, handles heat and pests better, and carries roughly twice the caffeine. The flavor is harsher, more bitter. It shows up in instant coffee and in some espresso blends, where it helps build a thicker crema.

Neither one is wrong. But when a bag doesn't say which it is, that's usually not a good sign.

If it's proud of what's inside, the label will tell you.

#arabica #robusta #coffeefacts #coffeeeducation #specialtycoffee #coffeelover #coffeetips #butfirstcoffee #homebarista #houndandroast #thehoundandroastsociety",ig+fb
2026-09-29,19:00,P0060_0061_P2_pumpkin-spice-fetch.png,"From behind, in October, a Corgi is a pumpkin with ears.

Round in the rump, short in the leg, built low and wide. Sit her on the porch step next to the jack-o'-lantern and the neighbors would need a second look.

She's a herder, and fall has finally given her a flock that looks like her: the pumpkins by the door, the leaves on the steps, the pumpkin latte on the table.

So far she's rounded up two pumpkins and a pile of leaves. The latte is still ours. For now.

#corgi #corgisofinstagram #pumpkinspice #fallvibes #autumncoffee #dogsofinstagram #coffeelover #petillustration #dogsandcoffee #houndandroast #thehoundandroastsociety",ig+fb
2026-09-30,19:00,P0061_0062_P4_tee-coffee-warms-my-hands.png,"A Beagle greets you like you've been gone a year. Every time. Including the four minutes it took to carry the bins out to the curb.

The tail starts at the base and takes the entire back half of the dog with it. That white tip is the loudest thing on the street.

The coffee waited on the porch railing, keeping warm for whoever needed it. The Beagle didn't wait at all.

Coffee warms your hands. The tail does the rest.

Printed to order on soft ring-spun cotton. Link's in the bio.

#beagle #beaglesofinstagram #beaglelove #dogsofinstagram #tailwags #printedtoorder #dogtshirt #coffeelover #butfirstcoffee #dogmom #houndandroast #thehoundandroastsociety",ig+fb
2026-10-01,19:00,P0062_0063_P3_a-thousand-names.png,"Chaser, a Border Collie in South Carolina, learned the names of more than a thousand toys. A retired psychology professor taught her a few at a time, over years.

She could fetch any of them by name. Then came the harder test: given a name she'd never heard, she picked the one toy in the pile she hadn't met yet.

That's not memorizing. That's working something out.

It's also why a Border Collie with nothing to do starts inventing projects. She isn't misbehaving. She's under-employed.

And somehow they still pretend not to know the word ""bath.""

#bordercollie #bordercollieofinstagram #dogfacts #dogintelligence #chasertheborder #dogsofinstagram #dogtraining #petillustration #dogsandcoffee #houndandroast #thehoundandroastsociety",ig+fb
